k,t_s,offset_ns,offset_simulink_ns,meas_ns,corr_ppb,freq_adj,adj_valid
40,0.04,147.837768554688,147.837821591906,122.391710550621,43988.9132109769,-1209158,0
41,0.041,141.348754882812,141.348896735531,30.0800000643311,36348.6851614372,-999145,0
42,0.042,142.5,142.500191903542,92.2209076475762,41935.8408690168,-1152724,0
43,0.043,138.064208984375,138.064326399465,91.4277071356158,42230.1273673569,-1160813,0
44,0.044,133.334106445312,133.334180194397,180.170731109574,50400.4700648366,-1385398,0
45,0.045,120.43359375,120.433694670903,212.876225068207,53989.8675796169,-1484062,0
46,0.046,103.943725585938,103.943808950348,117.251764462176,46415.3503828555,-1275855,0
47,0.047,95.0283203125,95.0284415730891,53.6280086844438,41279.3698405117,-1134679,0
48,0.048,91.2489013671875,91.2490510741879,50.7117647699239,41234.4637543202,-1133444,0
49,0.049,87.514404296875,87.5145636794572,-5.55784107106081,36482.9484876252,-1002836,0
50,0.05,88.531494140625,88.5315901089271,117.640190540785,47302.432912919,-1300239,0
51,0.051,78.7291259765625,78.7291370643174,43.4598425352106,41239.0057606835,-1133569,0
52,0.052,74.989990234375,74.9901182625484,-22.3951389088146,35615.3468519383,-978987,0
53,0.053,76.8746337890625,76.8747480349934,29.4066498154832,40085.4882512645,-1101862,0
54,0.054,74.2891845703125,74.2892371154943,-17.8256652620689,36045.1419779115,-990801,0
55,0.055,75.7440185546875,75.7440774479712,19.5522074765141,39264.0190524521,-1079281,0
56,0.056,73.97998046875,73.9800399398262,73.3076636574031,44071.6913114876,-1211433,0
57,0.057,67.4083251953125,67.4083298892892,115.378760342424,48063.3664758889,-1321156,0
58,0.058,56.844970703125,56.8449492599439,87.1307150915736,46033.0538396459,-1265347,0
59,0.059,48.3118896484375,48.3118835483796,-21.533352264428,36814.6079754993,-1011952,0
60,0.06,48.9971923828125,48.9972624354247,29.1148712764464,41186.6379723563,-1132130,0
61,0.061,45.310546875,45.3106046482609,-15.7837873179181,37350.5015278517,-1026683,0
62,0.062,45.4599609375,45.460084109617,10.3123149915985,39584.644138758,-1088094,0
63,0.063,43.3753662109375,43.3754149768786,-11.0222484572798,37747.9155748435,-1037607,0
64,0.064,43.12744140625,43.1274804695146,53.4279256170567,43376.0150564758,-1192311,0
